Model,ARIMA_Order,Diffs,Mod_Order,Trend,Intercept,Date,Fourier,Fourier_m,Fourier_k,BoxCox,Log,Scored,AIC,RMSE,RMSE%,SMAPE,CV_Time
0,"(1, 1, 2)",1,0,c,True,True,True,252.0,4.0,False,False,True,6844.672,8.1271,1.8664,0.9209,65.3649
1,"(0, 1, 10)",1,10,t,True,True,False,,,False,False,True,4713.6586,8.3107,1.9085,0.9188,74.6234
2,"(1, 1, 9)",1,10,t,True,True,False,,,False,False,True,4713.2279,8.3115,1.9087,0.9151,88.0771
3,"(2, 1, 8)",1,10,t,True,True,False,,,False,False,True,4708.2973,8.2496,1.8945,0.9103,80.1331
4,"(3, 1, 7)",1,10,t,True,True,False,,,False,False,True,4708.7945,8.074,1.8542,0.893,130.8936
5,"(4, 1, 6)",1,10,t,True,True,False,,,False,False,True,4687.4969,8.0628,1.8516,0.8875,79.9511
6,"(5, 1, 5)",1,10,t,True,True,False,,,False,False,True,4673.6595,8.1564,1.8731,0.8991,49.5792
7,"(6, 1, 4)",1,10,t,True,True,False,,,False,False,True,4687.1301,8.411,1.9316,0.9156,60.5288
8,"(7, 1, 3)",1,10,t,True,True,False,,,False,False,True,4680.0293,8.2997,1.906,0.9081,62.1985
9,"(8, 1, 2)",1,10,t,True,True,False,,,False,False,True,4664.3376,8.2045,1.8842,0.8934,66.5103
10,"(9, 1, 1)",1,10,t,True,True,False,,,False,False,True,4702.5077,8.4857,1.9487,0.9246,74.7604
11,"(10, 1, 0)",1,10,t,True,True,False,,,False,False,True,4641.9811,8.2544,1.8956,0.9034,82.3808
12,"(1, 1, 2)",1,0,c,True,True,True,252.0,4.0,False,False,True,4659.6503,8.2026,1.8837,0.9128,106.6572
